model_type,modality,train_mode,learning_rate,weight_decay,trainable_params,epochs,K,temperature,alpha,lambda_u,mixmatch_warmup_epochs,metric_name,test_metric,best_val_metric,best_val_test_metric,saved_checkpoint,global_rep,use_dino_weights
evan_small,s2,fft,0.001,0.0001,22493203,20,2,0.5,0.75,75.0,5,mAP,50.05,53.66,50.05,checkpoints/evan_mixmatch_benv2_s2_20260412_180639.pt,clstoken,False
evan_small,s2,fft,0.0003,0.0001,22493203,20,2,0.5,0.75,75.0,5,mAP,55.75,61.04,55.75,checkpoints/evan_mixmatch_benv2_s2_20260412_184812.pt,clstoken,False
evan_small,s2,fft,0.0001,0.0001,22493203,20,2,0.5,0.75,75.0,5,mAP,56.54,59.54,56.54,checkpoints/evan_mixmatch_benv2_s2_20260412_192936.pt,clstoken,False
evan_small,s1,fft,0.0003,0.0001,21510163,20,2,0.5,0.75,75.0,5,mAP,44.65,45.29,44.65,checkpoints/evan_mixmatch_benv2_s1_20260412_205155.pt,clstoken,False
evan_small,s1,fft,0.0001,0.0001,21510163,20,2,0.5,0.75,75.0,5,mAP,44.91,45.78,44.91,checkpoints/evan_mixmatch_benv2_s1_20260412_213208.pt,clstoken,False
evan_small,s2_rgb,fft,0.001,0.0001,21608467,20,2,0.5,0.75,75.0,5,mAP,42.40,45.22,42.30,checkpoints/evan_mixmatch_benv2_s2_rgb_20260412_221144.pt,clstoken,False
evan_small,s2_rgb,fft,0.0001,0.0001,21608467,20,2,0.5,0.75,75.0,5,mAP,46.19,50.30,45.86,checkpoints/evan_mixmatch_benv2_s2_rgb_20260412_230541.pt,clstoken,False
evan_small,s2,fft,0.001,0.0001,22493203,20,2,0.5,0.5,75.0,4,mAP,50.36,54.63,50.36,checkpoints/evan_mixmatch_benv2_s2_20260413_002948.pt,clstoken,False
evan_small,s2,fft,0.001,0.0001,22493203,20,2,0.5,0.5,100.0,4,mAP,48.49,52.92,48.49,checkpoints/evan_mixmatch_benv2_s2_20260413_011334.pt,clstoken,False
evan_small,s2,fft,0.0003,0.0001,22493203,20,2,0.5,0.5,10.0,4,mAP,57.39,63.28,57.70,checkpoints/evan_mixmatch_benv2_s2_20260413_055125.pt,clstoken,False
evan_small,s2,fft,0.0003,0.0001,22493203,20,2,0.5,0.5,40.0,4,mAP,54.53,60.35,54.55,checkpoints/evan_mixmatch_benv2_s2_20260413_063444.pt,clstoken,False
evan_small,s2,fft,0.0003,0.0001,22493203,60,2,0.5,0.5,10.0,4,mAP,54.68,63.29,57.83,checkpoints/evan_mixmatch_benv2_s2_20260413_061619.pt,clstoken,False
evan_small,s2,fft,0.0003,0.0001,22493203,20,2,0.5,0.5,100.0,4,mAP,52.44,56.27,52.44,checkpoints/evan_mixmatch_benv2_s2_20260413_075045.pt,clstoken,False
evan_small,s2,fft,0.0003,0.0001,22493203,20,2,0.5,0.75,10.0,4,mAP,57.98,62.87,57.83,checkpoints/evan_mixmatch_benv2_s2_20260413_083414.pt,clstoken,False
evan_small,s2,fft,0.0003,0.0001,22493203,20,2,0.5,0.75,40.0,4,mAP,54.39,60.27,54.04,checkpoints/evan_mixmatch_benv2_s2_20260413_091520.pt,clstoken,False
evan_small,s2,fft,0.0003,0.0001,22493203,20,2,0.5,0.75,75.0,4,mAP,53.23,58.84,53.23,checkpoints/evan_mixmatch_benv2_s2_20260413_095716.pt,clstoken,False
evan_small,s2,fft,0.0003,0.0001,22493203,60,2,0.5,0.5,100.0,4,mAP,49.42,57.35,52.41,checkpoints/evan_mixmatch_benv2_s2_20260413_083457.pt,clstoken,False
evan_small,s2,fft,0.0003,0.0001,22493203,20,2,0.5,0.75,100.0,4,mAP,52.00,56.72,51.89,checkpoints/evan_mixmatch_benv2_s2_20260413_103916.pt,clstoken,False
evan_small,s2,fft,0.0003,0.0001,22493203,20,2,0.5,0.5,10.0,4,mAP,56.23,60.96,57.19,checkpoints/evan_mixmatch_benv2_s2_20260413_213854.pt,clstoken,True
evan_small,s2,fft,0.0003,0.0001,22493203,20,2,0.5,0.5,40.0,4,mAP,51.15,56.39,52.07,checkpoints/evan_mixmatch_benv2_s2_20260413_222104.pt,clstoken,True
evan_small,s2,fft,0.0003,0.0001,22493203,20,2,0.5,0.5,75.0,4,mAP,50.38,55.79,51.79,checkpoints/evan_mixmatch_benv2_s2_20260413_230402.pt,clstoken,True
evan_small,s2,fft,0.0003,0.0001,22493203,20,2,0.5,0.5,100.0,4,mAP,50.82,55.05,51.05,checkpoints/evan_mixmatch_benv2_s2_20260413_234820.pt,clstoken,True
evan_small,s2,fft,0.0003,0.0001,22493203,20,2,0.5,0.75,10.0,4,mAP,57.40,63.70,58.35,checkpoints/evan_mixmatch_benv2_s2_20260414_003224.pt,clstoken,True
evan_small,s2,fft,0.0003,0.0001,22493203,20,2,0.5,0.75,40.0,4,mAP,53.06,55.57,53.33,checkpoints/evan_mixmatch_benv2_s2_20260414_011836.pt,clstoken,True
evan_small,s2,fft,0.0003,0.0001,22493203,20,2,0.5,0.5,10.0,4,mAP,58.84,63.11,58.29,checkpoints/evan_mixmatch_benv2_s2_20260414_012514.pt,clstoken,True
evan_small,s2,fft,0.0003,0.0001,22493203,20,2,0.5,0.75,75.0,4,mAP,51.51,55.70,51.89,checkpoints/evan_mixmatch_benv2_s2_20260414_020504.pt,clstoken,True
evan_small,s2,fft,0.0003,0.0001,22493203,20,2,0.5,0.5,40.0,4,mAP,50.82,56.72,52.99,checkpoints/evan_mixmatch_benv2_s2_20260414_020749.pt,clstoken,True
evan_small,s2,fft,0.0003,0.0001,22493203,20,2,0.5,0.5,75.0,4,mAP,52.79,58.58,54.52,checkpoints/evan_mixmatch_benv2_s2_20260414_025159.pt,clstoken,True
evan_small,s2,fft,0.0003,0.0001,22493203,20,2,0.5,0.75,100.0,4,mAP,50.78,53.18,50.78,checkpoints/evan_mixmatch_benv2_s2_20260414_025123.pt,clstoken,True
