model_type,modality,train_mode,learning_rate,weight_decay,trainable_params,epochs,K,temperature,alpha,lambda_u,mixmatch_warmup_epochs,metric_name,test_metric,best_val_metric,best_val_test_metric,saved_checkpoint,global_rep,use_dino_weights
evan_small,rgb,fft,0.0001,0.0001,21605002,2,2,0.5,0.75,75.0,1,Acc,49.91,49.44,49.91,checkpoints/evan_mixmatch_eurosat_rgb_20260412_145915.pt,clstoken,False
evan_small,rgb,fft,0.001,0.0001,21605002,20,2,0.5,0.75,75.0,5,Acc,57.22,55.37,57.22,checkpoints/evan_mixmatch_eurosat_rgb_20260412_180142.pt,clstoken,False
evan_small,rgb,fft,0.0003,0.0001,21605002,20,2,0.5,0.75,75.0,5,Acc,64.20,63.26,64.20,checkpoints/evan_mixmatch_eurosat_rgb_20260412_182236.pt,clstoken,False
evan_small,rgb,fft,0.0001,0.0001,21605002,20,2,0.5,0.75,75.0,5,Acc,66.19,65.48,66.19,checkpoints/evan_mixmatch_eurosat_rgb_20260412_184342.pt,clstoken,False
evan_small,vre,fft,0.001,0.0001,21605002,20,2,0.5,0.75,75.0,5,Acc,75.31,74.63,75.31,checkpoints/evan_mixmatch_eurosat_vre_20260412_190410.pt,clstoken,False
evan_small,vre,fft,0.0003,0.0001,21605002,20,2,0.5,0.75,75.0,5,Acc,86.17,86.19,86.87,checkpoints/evan_mixmatch_eurosat_vre_20260412_192240.pt,clstoken,False
evan_small,vre,fft,0.0001,0.0001,21605002,20,2,0.5,0.75,75.0,5,Acc,88.33,88.44,89.17,checkpoints/evan_mixmatch_eurosat_vre_20260412_194114.pt,clstoken,False
evan_small,nir,fft,0.001,0.0001,21506698,20,2,0.5,0.75,75.0,5,Acc,42.94,42.04,42.93,checkpoints/evan_mixmatch_eurosat_nir_20260412_195934.pt,clstoken,False
evan_small,nir,fft,0.0003,0.0001,21506698,20,2,0.5,0.75,75.0,5,Acc,58.26,57.33,57.50,checkpoints/evan_mixmatch_eurosat_nir_20260412_201739.pt,clstoken,False
evan_small,nir,fft,0.0001,0.0001,21506698,20,2,0.5,0.75,75.0,5,Acc,62.93,62.85,63.41,checkpoints/evan_mixmatch_eurosat_nir_20260412_203544.pt,clstoken,False
evan_small,swir,fft,0.001,0.0001,21605002,20,2,0.5,0.75,75.0,5,Acc,64.43,65.44,65.65,checkpoints/evan_mixmatch_eurosat_swir_20260412_205355.pt,clstoken,False
evan_small,swir,fft,0.0003,0.0001,21605002,20,2,0.5,0.75,75.0,5,Acc,70.57,70.81,71.11,checkpoints/evan_mixmatch_eurosat_swir_20260412_211217.pt,clstoken,False
evan_small,swir,fft,0.0001,0.0001,21605002,20,2,0.5,0.75,75.0,5,Acc,70.59,70.15,70.59,checkpoints/evan_mixmatch_eurosat_swir_20260412_213040.pt,clstoken,False
evan_small,rgb,fft,0.001,0.0001,21605002,20,2,0.5,0.75,75.0,5,Acc,67.20,66.67,67.20,checkpoints/evan_mixmatch_eurosat_rgb_20260412_214905.pt,clstoken,True
evan_small,rgb,fft,0.0003,0.0001,21605002,20,2,0.5,0.75,75.0,5,Acc,79.04,79.15,79.07,checkpoints/evan_mixmatch_eurosat_rgb_20260412_220952.pt,clstoken,True
evan_small,rgb,fft,0.0001,0.0001,21605002,20,2,0.5,0.75,75.0,5,Acc,82.87,82.70,82.59,checkpoints/evan_mixmatch_eurosat_rgb_20260412_223029.pt,clstoken,True
evan_small,vre,fft,0.001,0.0001,21605002,20,2,0.5,0.75,75.0,5,Acc,81.65,80.56,81.56,checkpoints/evan_mixmatch_eurosat_vre_20260412_225115.pt,clstoken,True
evan_small,vre,fft,0.0003,0.0001,21605002,20,2,0.5,0.75,75.0,5,Acc,86.43,87.00,87.30,checkpoints/evan_mixmatch_eurosat_vre_20260412_230941.pt,clstoken,True
evan_small,vre,fft,0.0001,0.0001,21605002,20,2,0.5,0.75,75.0,5,Acc,87.96,88.30,87.96,checkpoints/evan_mixmatch_eurosat_vre_20260412_232812.pt,clstoken,True
evan_small,rgb,fft,0.001,0.0001,21605002,20,2,0.5,0.5,75.0,4,Acc,48.39,51.22,50.69,checkpoints/evan_mixmatch_eurosat_rgb_20260413_001538.pt,clstoken,False
evan_small,rgb,fft,0.001,0.0001,21605002,20,2,0.5,0.5,100.0,4,Acc,37.26,51.00,51.85,checkpoints/evan_mixmatch_eurosat_rgb_20260413_003703.pt,clstoken,False
evan_small,rgb,fft,0.001,0.0001,21605002,20,2,0.5,0.5,125.0,4,Acc,20.19,46.04,45.11,checkpoints/evan_mixmatch_eurosat_rgb_20260413_005856.pt,clstoken,False
evan_small,rgb,fft,0.001,0.0001,21605002,20,2,0.5,0.75,75.0,4,Acc,24.07,51.56,51.91,checkpoints/evan_mixmatch_eurosat_rgb_20260413_012019.pt,clstoken,False
evan_small,rgb,fft,0.001,0.0001,21605002,20,2,0.5,0.75,100.0,4,Acc,24.63,50.00,50.06,checkpoints/evan_mixmatch_eurosat_rgb_20260413_014154.pt,clstoken,False
evan_small,rgb,fft,0.001,0.0001,21605002,20,2,0.5,0.75,125.0,4,Acc,22.09,48.81,48.80,checkpoints/evan_mixmatch_eurosat_rgb_20260413_020238.pt,clstoken,False
