dataset,model_arch,starting_modality,new_modality,lr,weight_decay,epochs,mask_ratio,modality_dropout,labeled_frequency,labeled_start_fraction,trainable_params,active_losses,use_mfla,warmup_epochs,intermediate_projector_type,tz_fusion_time,metric_name,teacher_test_metric,transfer_metric,peeking_metric,addition_metric,addition_ens_metric,valchecked_transfer,valchecked_peek,valchecked_add,valchecked_add_ens,valchecked_val_transfer,valchecked_val_peek,valchecked_val_add,valchecked_val_add_ens,stage0_checkpoint,shote2e_checkpoint
dfc2020,evan_base,s2,s2_rgb,0.000192,0.00353,64,0.322,0.283,0.296,0.5,164648720,latent+prefusion+distill+ce,False,3,cross,3,mIoU,45.11,37.13,48.56,48.36,45.61,38.46,41.78,46.76,45.61,52.56,58.49,57.31,54.32,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260418_080316.pt,checkpoints/delulunet_dfc2020_0420_0716.pt
dfc2020,evan_base,s2,s1,0.000229,0.000788,64,0.467,0.356,0.433,0.5,164255248,latent+prefusion+distill+ce,False,3,cross,3,mIoU,45.11,38.43,46.26,45.22,47.16,43.19,46.26,45.22,47.16,45.50,57.92,57.37,50.93,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260418_080316.pt,checkpoints/delulunet_dfc2020_0420_0718.pt
dfc2020,evan_base,s2,s1,0.000192,0.00353,64,0.322,0.283,0.296,0.5,164255248,latent+prefusion+distill+ce,False,3,cross,3,mIoU,45.11,42.51,45.30,45.11,50.79,42.51,45.30,45.11,50.79,46.22,58.18,56.74,51.48,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260418_080316.pt,checkpoints/delulunet_dfc2020_0420_0719.pt
dfc2020,evan_base,s2,s1,0.000192,0.00353,64,0.322,0.283,0.296,0.5,164255248,latent+prefusion+distill+ce,False,3,cross,3,mIoU,45.11,42.48,39.82,39.83,45.86,44.28,40.27,45.12,45.86,46.06,58.02,57.02,51.28,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260418_080316.pt,checkpoints/delulunet_dfc2020_0420_0723.pt
benv2,evan_base,s2,s1,0.000229,0.000788,64,0.467,0.356,0.433,0.5,163878694,latent+prefusion+distill+ce,False,3,cross,3,mAP,61.48,46.84,63.13,63.23,63.35,46.84,63.13,63.23,63.35,35.58,66.56,65.56,50.57,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt,checkpoints/delulunet_benv2_0420_0723.pt
dfc2020,evan_base,s2,s2_norgb,0.000192,0.00353,64,0.322,0.283,0.296,0.5,167403024,latent+prefusion+distill+ce,False,3,cross,3,mIoU,45.11,45.57,47.45,46.38,46.62,45.22,40.89,46.38,46.62,55.11,57.31,56.76,55.88,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260418_080316.pt,checkpoints/delulunet_dfc2020_0420_0725.pt
dfc2020,evan_base,s2,s1,0.000192,0.00353,64,0.322,0.283,0.296,0.5,164255248,latent+prefusion+distill+ce,False,3,cross,3,mIoU,45.11,42.75,44.50,44.57,48.21,43.75,45.13,47.29,48.21,46.12,57.88,56.97,51.08,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260418_080316.pt,checkpoints/delulunet_dfc2020_0420_0725.pt
dfc2020,evan_base,s2,s2_norgb,0.000229,0.000788,64,0.467,0.356,0.433,0.5,167403024,latent+prefusion+distill+ce,False,3,cross,3,mIoU,45.11,49.74,48.41,47.31,49.24,49.74,47.05,47.31,49.24,56.04,57.69,57.19,56.62,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260418_080316.pt,checkpoints/delulunet_dfc2020_0420_0725.pt
benv2,evan_base,s2,s2_rgb,0.000229,0.000788,64,0.467,0.356,0.433,0.5,164272166,latent+prefusion+distill+ce,False,3,cross,3,mAP,61.48,56.97,62.93,62.91,61.50,56.97,62.93,62.70,61.50,52.18,66.30,65.06,58.61,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt,checkpoints/delulunet_benv2_0420_0725.pt
dfc2020,evan_base,s2,s2_norgb,0.000192,0.00353,64,0.322,0.283,0.296,0.5,167403024,latent+prefusion+distill+ce,False,3,cross,3,mIoU,45.11,46.05,45.50,43.55,45.86,45.96,42.84,44.55,45.86,54.60,57.55,56.34,55.39,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260418_080316.pt,checkpoints/delulunet_dfc2020_0420_0727.pt
dfc2020,evan_base,s2_rgb,s2,0.000229,0.000788,64,0.467,0.356,0.433,0.5,164648720,latent+prefusion+distill+ce,False,3,cross,3,mIoU,45.85,51.74,47.85,50.67,51.17,51.74,48.60,51.39,51.17,52.62,57.47,55.64,54.08,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt,checkpoints/delulunet_dfc2020_0420_0729.pt
benv2,evan_base,s2,s2_rgb,0.000192,0.00353,64,0.322,0.283,0.296,0.5,164272166,latent+prefusion+distill+ce,False,3,cross,3,mAP,61.48,55.27,63.50,63.54,62.07,56.97,62.85,62.70,62.07,50.97,66.89,66.29,57.81,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt,checkpoints/delulunet_benv2_0420_0731.pt
dfc2020,evan_base,s2,s2_norgb,0.000192,0.00353,64,0.322,0.283,0.296,0.5,167403024,latent+prefusion+distill+ce,False,3,cross,3,mIoU,45.11,44.39,44.89,43.50,44.73,42.49,42.11,43.50,44.73,55.73,57.56,57.08,56.35,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260418_080316.pt,checkpoints/delulunet_dfc2020_0420_0731.pt
benv2,evan_base,s2_rgb,s2,0.000229,0.000788,64,0.467,0.356,0.433,0.5,164272166,latent+prefusion+distill+ce,False,3,cross,3,mAP,65.71,59.69,66.25,66.27,65.11,59.69,67.15,66.12,65.11,55.26,71.70,69.02,62.12,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.001_20260417_073911.pt,checkpoints/delulunet_benv2_0420_0731.pt
