model_type,teacher_modality,student_modality,train_mode,learning_rate,weight_decay,trainable_params,epoch,temperature,alpha,distillation_mode,kl_type,metric_name,teacher_test_metric,test_metric,best_test_metric(oracle),best_epoch,best_val_agreement,ensemble_metric_logits,ensemble_metric_softmax,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint,init_from_teacher
evan_base,s1,s2,fft,0.0005,0.01,126977544,64,2.0,1.0,regular,kd,mIoU,47.96,49.12,50.05,64,83.60,50.10,49.75,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260916_012334.pt,False
evan_base,s1,s2,fft,0.0001,0.01,126977544,64,2.0,1.0,regular,ttm,mIoU,47.96,49.68,50.65,64,83.96,50.15,49.88,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260916_012334.pt,False
evan_base,s1,s2,fft,0.0005,0.01,126977544,64,2.0,1.0,regular,ttm,mIoU,47.96,48.81,49.34,64,83.70,50.26,49.91,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260916_012334.pt,False
evan_base,s2,s1,fft,0.0005,0.01,124814856,64,2.0,1.0,regular,kd,mIoU,66.96,46.25,46.88,64,79.72,61.25,61.35,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260916_020548.pt,False
evan_base,s1,s2,fft,0.0001,0.01,126977544,64,2.0,1.0,regular,kd,mIoU,47.96,50.06,50.43,64,84.14,50.47,50.15,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260916_012334.pt,False
evan_base,s2_rgb,s1,fft,0.0005,0.01,124814856,64,2.0,1.0,regular,kd,mIoU,59.80,46.04,46.77,64,81.11,55.98,55.79,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,False
evan_base,s2_rgb,s1,fft,0.0005,0.01,124814856,64,2.0,1.0,regular,ttm,mIoU,59.80,45.80,45.92,64,81.72,55.86,55.72,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,False
evan_base,s2,s1,fft,0.0005,0.01,124814856,64,2.0,1.0,regular,ttm,mIoU,66.96,45.77,46.18,64,79.39,60.86,60.81,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260916_020548.pt,False
evan_base,s2,s1,fft,0.0001,0.01,124814856,64,2.0,1.0,regular,ttm,mIoU,66.96,47.05,47.46,64,80.02,61.07,61.58,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260916_020548.pt,False
evan_base,s2,s1,fft,0.0001,0.01,124814856,64,2.0,1.0,regular,kd,mIoU,66.96,47.61,47.78,64,80.13,61.52,61.86,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260916_020548.pt,False
