model_type,teacher_modality,student_modality,train_mode,learning_rate,weight_decay,trainable_params,epoch,temperature,alpha,distillation_mode,kl_type,metric_name,teacher_test_metric,test_metric,best_test_metric(oracle),best_epoch,best_val_agreement,ensemble_metric_logits,ensemble_metric_softmax,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint,init_from_teacher
evan_base,s2_rgb,s1,fft,0.0005,0.01,125204481,48,2.0,1.0,regular,ttm,RMSE,41.96,49.95,49.95,48,,nan,nan,,,,,clstoken,checkpoints/sft_evan_base_biomassters_s2_rgb_fft_lr0.0005_20260915_005742.pt,False
evan_base,s2_rgb,s1,fft,0.0005,0.01,125204481,48,2.0,1.0,regular,kd,RMSE,41.96,50.03,50.03,48,,nan,nan,,,,,clstoken,checkpoints/sft_evan_base_biomassters_s2_rgb_fft_lr0.0005_20260915_005742.pt,False
evan_base,s2_rgb,s1,fft,0.0001,0.01,125204481,48,2.0,1.0,regular,ttm,RMSE,41.96,50.27,50.02,48,,nan,nan,,,,,clstoken,checkpoints/sft_evan_base_biomassters_s2_rgb_fft_lr0.0005_20260915_005742.pt,False
evan_base,s2,s1,fft,0.0001,0.01,125204481,48,2.0,1.0,regular,ttm,RMSE,43.59,50.89,50.78,48,,nan,nan,,,,,clstoken,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt,False
evan_base,s2_rgb,s1,fft,0.0001,0.01,125204481,48,2.0,1.0,regular,kd,RMSE,41.96,49.82,49.82,48,,nan,nan,,,,,clstoken,checkpoints/sft_evan_base_biomassters_s2_rgb_fft_lr0.0005_20260915_005742.pt,False
evan_base,s2,s1,fft,0.0001,0.01,125204481,48,2.0,1.0,regular,kd,RMSE,43.59,51.29,50.63,48,,nan,nan,,,,,clstoken,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt,False
evan_base,s2,s1,fft,0.0005,0.01,125204481,48,2.0,1.0,regular,kd,RMSE,43.59,51.23,51.23,48,,nan,nan,,,,,clstoken,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt,False
evan_base,s1,s2,fft,0.0005,0.01,126384129,48,2.0,1.0,regular,ttm,RMSE,47.68,50.64,50.43,48,,nan,nan,,,,,clstoken,checkpoints/sft_evan_base_biomassters_s1_fft_lr0.0005_20260725_075947.pt,False
evan_base,s2,s1,fft,0.0005,0.01,125204481,48,2.0,1.0,regular,ttm,RMSE,43.59,50.71,50.65,48,,nan,nan,,,,,clstoken,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt,False
evan_base,s1,s2,fft,0.0005,0.01,126384129,48,2.0,1.0,regular,kd,RMSE,47.68,50.88,50.01,48,,nan,nan,,,,,clstoken,checkpoints/sft_evan_base_biomassters_s1_fft_lr0.0005_20260725_075947.pt,False
evan_base,s1,s2,fft,0.0001,0.01,126384129,48,2.0,1.0,regular,ttm,RMSE,47.68,50.74,49.90,48,,nan,nan,,,,,clstoken,checkpoints/sft_evan_base_biomassters_s1_fft_lr0.0005_20260725_075947.pt,False
evan_base,s1,s2,fft,0.0001,0.01,126384129,48,2.0,1.0,regular,kd,RMSE,47.68,50.71,50.49,48,,nan,nan,,,,,clstoken,checkpoints/sft_evan_base_biomassters_s1_fft_lr0.0005_20260725_075947.pt,False
evan_base,s2_rgb,s2_norgb,fft,0.0001,0.01,125794305,48,2.0,1.0,regular,ttm,RMSE,41.96,45.76,45.68,48,,nan,nan,,,,,clstoken,checkpoints/sft_evan_base_biomassters_s2_rgb_fft_lr0.0005_20260915_005742.pt,False
evan_base,s2_rgb,s2_norgb,fft,0.0001,0.01,125794305,48,2.0,1.0,regular,kd,RMSE,41.96,45.66,45.66,48,,nan,nan,,,,,clstoken,checkpoints/sft_evan_base_biomassters_s2_rgb_fft_lr0.0005_20260915_005742.pt,False
evan_base,s2_rgb,s2_norgb,fft,0.0005,0.01,125794305,48,2.0,1.0,regular,kd,RMSE,41.96,45.71,45.64,48,,nan,nan,,,,,clstoken,checkpoints/sft_evan_base_biomassters_s2_rgb_fft_lr0.0005_20260915_005742.pt,False
evan_base,s2_rgb,s2_norgb,fft,0.0005,0.01,125794305,48,2.0,1.0,regular,ttm,RMSE,41.96,45.69,45.64,48,,nan,nan,,,,,clstoken,checkpoints/sft_evan_base_biomassters_s2_rgb_fft_lr0.0005_20260915_005742.pt,False
evan_base,s2_rgb,s1,fft,0.0005,0.01,125204481,48,2.0,1.0,regular,kd,RMSE,41.96,54.76,54.62,48,,nan,nan,,,,,clstoken,checkpoints/sft_evan_base_biomassters_s2_rgb_fft_lr0.0005_20260915_005742.pt,True
evan_base,s2,s1,fft,0.0001,0.01,125204481,48,2.0,1.0,regular,kd,RMSE,43.59,51.22,51.14,48,,nan,nan,,,,,clstoken,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt,True
evan_base,s2_rgb,s2_norgb,fft,0.0001,0.01,125794305,48,2.0,1.0,regular,ttm,RMSE,41.96,45.78,45.65,48,,nan,nan,,,,,clstoken,checkpoints/sft_evan_base_biomassters_s2_rgb_fft_lr0.0005_20260915_005742.pt,True
evan_base,s2,s1,fft,0.0005,0.01,125204481,48,2.0,1.0,regular,ttm,RMSE,43.59,55.78,55.59,48,,nan,nan,,,,,clstoken,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt,True
evan_base,s2_rgb,s1,fft,0.0005,0.01,125204481,48,2.0,1.0,regular,ttm,RMSE,41.96,52.90,52.88,48,,nan,nan,,,,,clstoken,checkpoints/sft_evan_base_biomassters_s2_rgb_fft_lr0.0005_20260915_005742.pt,True
evan_base,s2_rgb,s2_norgb,fft,0.0005,0.01,125794305,48,2.0,1.0,regular,kd,RMSE,41.96,46.22,46.22,48,,nan,nan,,,,,clstoken,checkpoints/sft_evan_base_biomassters_s2_rgb_fft_lr0.0005_20260915_005742.pt,True
