wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,seed,config_label,student_init,loss_balance
97sfbgm4,delulu-losswts,dfc2020,s1,s2_norgb,49.05,0.00044144167288493494,,0.0002,64,0.3,0.30845712778638923,0.4420113792072863,0.08658832965970353,0.0,0.0,False,True,True,1.6777158649470347,0.4247949998400774,0.149070948559887,0.19819195164073455,222841872,latent+prefusion+distill+ce,peeking,82.39,49.76,46.40,45.93,88.71,50.15,85.50,49.15,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
gw1flpo3,delulu-losswts,dfc2020,s1,s2_norgb,49.05,0.0008904838593114686,,0.0002,64,0.3,0.30845712778638923,0.4420113792072863,0.08658832965970353,0.0,0.0,False,True,True,3.51461381239738,0.7414652287004196,0.149070948559887,0.19819195164073455,222841872,latent+prefusion+distill+ce,peeking,72.50,35.96,39.66,39.55,82.13,40.66,77.09,40.07,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
p0avbd41,delulu-losswts,dfc2020,s1,s2_norgb,49.05,3.5517802492150265e-05,,0.0002,64,0.3,0.30845712778638923,0.4420113792072863,0.08658832965970353,0.0,0.0,False,True,True,2.244726197647199,0.3915670296179492,0.149070948559887,0.19819195164073455,222841872,latent+prefusion+distill+ce,peeking,81.81,46.57,48.17,48.75,88.48,49.29,84.08,49.41,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
y3a4xygk,delulu-losswts,dfc2020,s1,s2_norgb,49.05,0.0004849218401804509,,0.0002,64,0.3,0.30845712778638923,0.4420113792072863,0.08658832965970353,0.0,0.0,False,True,True,4.46872148479755,0.223500916995384,0.149070948559887,0.19819195164073455,222841872,latent+prefusion+distill+ce,peeking,81.38,46.40,45.24,45.38,88.25,48.98,84.79,48.36,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
gb5mt0cy,delulu-losswts,dfc2020,s1,s2_norgb,49.05,0.0007567103223162694,,0.0002,64,0.3,0.30845712778638923,0.4420113792072863,0.08658832965970353,0.0,0.0,False,True,True,4.227468729924343,0.17105630306258313,0.149070948559887,0.19819195164073455,222841872,latent+prefusion+distill+ce,peeking,79.94,43.65,42.94,42.18,85.43,44.43,82.38,44.87,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
xueq88er,delulu-losswts,dfc2020,s1,s2_norgb,49.05,0.0002227491513323851,,0.0002,64,0.3,0.30845712778638923,0.4420113792072863,0.08658832965970353,0.0,0.0,False,True,True,4.45795292576491,0.809569448560595,0.149070948559887,0.19819195164073455,222841872,latent+prefusion+distill+ce,peeking,82.72,48.96,47.89,47.29,88.03,50.17,85.02,45.92,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
b1dykdno,delulu-losswts,dfc2020,s1,s2_norgb,49.05,0.00018457815686859195,,0.0002,64,0.3,0.30845712778638923,0.4420113792072863,0.08658832965970353,0.0,0.0,False,True,True,4.905075566180061,0.9597437533397352,0.149070948559887,0.19819195164073455,222841872,latent+prefusion+distill+ce,peeking,82.98,49.14,46.71,47.27,88.27,49.47,85.22,47.87,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
v4xk5n8m,delulu-losswts,dfc2020,s1,s2_norgb,49.05,0.00019508331956167376,,0.0002,64,0.3,0.30845712778638923,0.4420113792072863,0.08658832965970353,0.0,0.0,False,True,True,0.03255821684200744,0.5700225780646152,0.149070948559887,0.19819195164073455,222841872,latent+prefusion+distill+ce,peeking,82.41,47.98,47.13,46.65,89.18,49.58,85.61,48.43,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
tsme8dco,delulu-losswts,dfc2020,s1,s2_norgb,49.05,0.0007369123958612459,,0.0002,64,0.3,0.30845712778638923,0.4420113792072863,0.08658832965970353,0.0,0.0,False,True,True,4.1361618393727815,0.14366225685443135,0.149070948559887,0.19819195164073455,222841872,latent+prefusion+distill+ce,peeking,74.26,37.71,40.70,39.63,83.62,42.82,78.69,40.79,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
cxuqk48i,delulu-losswts,dfc2020,s1,s2_norgb,49.05,1.2037105230550953e-05,,0.0002,64,0.3,0.30845712778638923,0.4420113792072863,0.08658832965970353,0.0,0.0,False,True,True,0.07471414998033554,0.4723364650267162,0.149070948559887,0.19819195164073455,222841872,latent+prefusion+distill+ce,peeking,80.94,43.76,47.91,48.36,89.28,48.41,84.80,48.04,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
