wandb_run_id,dataset,starting_modality,new_modality,teacher_test_metric,lr,weight_decay,epochs,mask_ratio,modality_dropout,labeled_frequency,labeled_start_fraction,use_mae,use_latent,lambda_mae,lambda_latent,lambda_prefusion,lambda_distill,lambda_ce,trainable_params,active_losses,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,shote2e_checkpoint
n6ip530w,dfc2020,s2_rgb,s1,45.74,0.000235720144088082,1.526768065932484e-05,128,0.5233652560592809,0.13357353404639827,0.3651501950124534,0.9138219387044874,True,True,0.7493409442598867,0.9802314164647868,0.802579942006395,0.4475150540020726,0.6669508115245983,40639632,prefusion+distill+ce+mae+latent,46.76,46.32,55.96,42.11,55.40,42.82,50.78,50.88,checkpoints/dfc2020_s2rgb_dinov3init_sft.pt,checkpoints/sweep_n6ip530w_0408_0307.pt
krql2xz7,dfc2020,s2_rgb,s1,45.74,0.0002036506050006888,3.405654135507784e-05,128,0.1009544915882592,0.36496062170626,0.6165387895033015,0.6600239952482989,True,True,0.13240616331934285,0.5363950501646642,0.2483224414923858,0.4362023632778555,0.1419159221897789,40639632,prefusion+distill+ce+mae+latent,45.33,45.34,55.28,45.91,55.05,45.97,50.19,50.86,checkpoints/dfc2020_s2rgb_dinov3init_sft.pt,checkpoints/sweep_krql2xz7_0408_0329.pt
6hdmsvjz,dfc2020,s2_rgb,s1,45.74,0.000478895914891891,0.06275239971385477,128,0.8733106786170567,0.3912097888231611,0.6015614688041502,0.928510980407544,True,True,0.7876455664085613,0.7775437193841502,0.1144670083150423,0.5466059272486822,0.3302330525460604,40639632,prefusion+distill+ce+mae+latent,46.29,45.97,55.86,44.94,53.12,48.71,49.61,50.18,checkpoints/dfc2020_s2rgb_dinov3init_sft.pt,checkpoints/sweep_6hdmsvjz_0408_0330.pt
i165gj7g,dfc2020,s2_rgb,s1,45.74,0.0008881960639809696,0.027873113511375947,128,0.7738287078433327,0.22278048526960573,0.990999719995321,0.3526639544065907,True,True,0.8304420273346014,0.8507576916919579,0.2050151402646264,0.918090386510932,0.27964817624712035,40639632,prefusion+distill+ce+mae+latent,43.04,37.47,55.66,40.94,50.46,44.92,46.49,43.82,checkpoints/dfc2020_s2rgb_dinov3init_sft.pt,checkpoints/sweep_i165gj7g_0408_0334.pt
cskrbhui,dfc2020,s2_rgb,s1,45.74,0.00046918007937521525,4.794978711362961e-05,128,0.41101569378468406,0.4891157522847084,0.16885459388547286,0.9772155787830122,True,True,0.5308478288699551,0.5011288395811334,0.5840461259965493,0.8817697744264494,0.43795147284571834,40639632,prefusion+distill+ce+mae+latent,46.24,45.42,55.37,42.81,54.89,43.39,50.57,48.57,checkpoints/dfc2020_s2rgb_dinov3init_sft.pt,checkpoints/sweep_cskrbhui_0408_0336.pt
50ohkuus,dfc2020,s2_rgb,s1,45.74,0.00010581732170598578,0.003774470182508067,128,0.5077508228132518,0.3075014289505359,0.906470119135344,0.04102019954912639,True,True,0.16362196603030477,0.7523235474983632,0.06092937922203823,0.4417111206225928,0.8217832942284435,40639632,prefusion+distill+ce+mae+latent,41.91,36.66,56.48,45.96,55.33,47.45,46.74,49.12,checkpoints/dfc2020_s2rgb_dinov3init_sft.pt,checkpoints/sweep_50ohkuus_0408_0339.pt
13ptp34u,dfc2020,s2_rgb,s1,45.74,0.00018721010762202237,0.00010715647821129412,128,0.2262172862001484,0.23122986679998392,0.16118160061366038,0.6849219599988133,True,True,0.33923750050002666,0.8151517246980892,0.625750981898316,0.8131891943353435,0.9411015112269572,40639632,prefusion+distill+ce+mae+latent,45.88,46.32,56.02,46.26,55.34,45.62,50.25,51.00,checkpoints/dfc2020_s2rgb_dinov3init_sft.pt,checkpoints/sweep_13ptp34u_0408_0342.pt
lmz3ufs2,dfc2020,s2_rgb,s1,45.74,0.0007906405235705486,7.524269213598326e-05,128,0.22308924298353788,0.4983218718165713,0.0709859875808555,0.6198726859637912,True,True,0.16669008216925318,0.41140695886864653,0.42240171879683985,0.4078535618951779,0.7946281066227003,40639632,prefusion+distill+ce+mae+latent,46.06,45.81,57.00,41.57,52.67,48.91,49.36,49.13,checkpoints/dfc2020_s2rgb_dinov3init_sft.pt,checkpoints/sweep_lmz3ufs2_0408_0349.pt
jhfug2d1,dfc2020,s2_rgb,s1,45.74,8.986982956383118e-05,0.007706290255295183,128,0.8522700835875596,0.4877974706615336,0.7973127180537428,0.7320046488773766,True,True,0.20227355982599493,0.7052900314224446,0.9265049335116816,0.2166676266385067,0.5440692046188311,40639632,prefusion+distill+ce+mae+latent,46.25,46.63,55.70,44.42,54.15,46.44,50.20,50.58,checkpoints/dfc2020_s2rgb_dinov3init_sft.pt,checkpoints/sweep_jhfug2d1_0408_0351.pt
2is686pg,dfc2020,s2_rgb,s1,45.74,0.00030483937121901907,0.00949255718117636,128,0.4141219070575624,0.4661598265003615,0.038035451942968646,0.137197499564909,True,True,0.3829048933886605,0.21562526957797867,0.5497285094764958,0.3760531337257356,0.012686455137128403,40639632,prefusion+distill+ce+mae+latent,45.81,45.56,55.02,46.35,53.76,43.28,49.77,50.99,checkpoints/dfc2020_s2rgb_dinov3init_sft.pt,checkpoints/sweep_2is686pg_0408_0423.pt
